date,time,ward,location,latitude,longitude,situation
2019-04-20,21:05,南区,南区石山陸橋付近,42.975475,141.344828,ヒグマを目撃
2019-04-21,23:15,清田区,清田区美しが丘4条5丁目付近,42.980009,141.454802,ヒグマを目撃
2019-04-23,16:30,南区,南区真駒内229番地10付近,42.94104027,141.3634771,ヒグマを目撃
2019-04-23,17:54,南区,南区真駒内217番地12付近,42.94399,141.353677,ヒグマを目撃
2019-04-23,18:10,南区,南区真駒内211番地3付近,42.943849,141.357686,ヒグマを目撃
2019-04-23,20:30,南区,南区石山東4丁目9番付近,42.962837,141.344712,ヒグマを目撃
2019-04-24,18:40,南区,南区真駒内615番地44付近,42.969522,141.352611,ヒグマを目撃
2019-04-25,8:25,南区,南区真駒内17番地1付近,42.972464,141.357431,ヒグマを目撃
2019-04-25,21:15,南区,南区真駒内613番地1付近,42.96794443,141.353538,ヒグマを目撃
2019-04-26,16:30,南区,南区白川1814番地23付近,42.972673,141.284969,ヒグマを目撃
2019-04-26,14:15,南区,南区真駒内243番地21付近,42.9556913,141.3509395,ヒグマを目撃
2019-04-28,2:35,南区,南区真駒内17番地1付近,42.982678,141.356875,ヒグマを目撃
